City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,pandan,14.0453,124.1694,77.29,83,100,11.48,PH,1675802145
285,jalu,29.0331,21.5482,53.56,50,100,8.59,LY,1675802208
286,honiara,-9.4333,159.95,79.86,83,99,3.22,SB,1675802208
287,civitanova marche,43.307,13.7206,39.85,50,14,1.99,IT,1675802209
288,satipo,-11.2522,-74.6386,77.59,89,98,0.63,PE,1675802209
289,oxelosund,58.6706,17.1015,35.98,87,75,8.05,SE,1675802210
290,port lincoln,-34.7333,135.8667,65.16,82,2,12.93,AU,1675801856
291,suzhou,31.3114,120.6181,42.19,80,100,4.97,CN,1675802210
292,jiangyou,31.7667,104.7167,49.46,86,100,0.45,CN,1675802210
293,belaya gora,68.5333,146.4167,-45.83,100,98,2.04,RU,1675802211
294,sola,-13.8833,167.55,81.95,77,100,14.54,VU,1675802211
295,anadyr,64.75,177.4833,-23.3,76,20,8.95,RU,1675801771
296,sao lourenco do sul,-31.3653,-51.9783,79.84,57,70,13.35,BR,1675802212
297,clyde river,70.4692,-68.5914,-26.18,96,98,3.22,CA,1675801960
298,jumla,29.2747,82.1838,34.47,76,5,3.04,NP,1675802212
299,lavrentiya,65.5833,-171.0,-14.01,90,100,3.71,RU,1675802213
300,san jeronimo,-11.9472,-75.2829,62.51,50,86,5.5,PE,1675802213
301,husavik,66.0449,-17.3389,22.82,76,38,16.6,IS,1675802138
302,sorland,67.667,12.6934,39.06,80,100,37.24,NO,1675802214
303,voyvozh,62.892,54.9635,9.93,94,100,9.51,RU,1675802214
304,arona,28.0996,-16.681,57.13,63,20,6.91,ES,1675802214
305,vila velha,-20.3297,-40.2925,82.35,82,20,17.27,BR,1675802201
306,avera,33.194,-82.5271,69.39,39,99,6.33,US,1675802215
307,leopoldina,-21.5319,-42.6431,75.25,91,100,5.35,BR,1675802215
308,itarema,-2.9248,-39.9167,79.61,78,100,12.28,BR,1675802216
309,mandiana,10.6333,-8.6833,83.52,21,83,5.06,GN,1675802216
310,maceio,-9.6658,-35.7353,81.84,69,20,11.5,BR,1675802216
311,portland,45.5234,-122.6762,48.97,90,100,18.01,US,1675802091
312,mersing,2.4312,103.8405,76.82,87,100,7.74,MY,1675802217
313,road town,18.4167,-64.6167,80.69,76,3,20.07,VG,1675802217
314,omboue,-1.5746,9.2618,78.73,82,76,5.57,GA,1675802218
315,smithers,54.7804,-127.1743,21.52,100,100,6.91,CA,1675802218
316,jacareacanga,-6.2222,-57.7528,83.88,70,53,1.52,BR,1675802191
317,tarauaca,-8.1614,-70.7656,76.8,90,97,1.97,BR,1675802218
318,takhli,15.2634,100.3438,79.75,71,1,6.67,TH,1675802219
319,lugovoy,42.9472,72.7644,29.82,76,100,5.26,KZ,1675802219
320,cabra,37.4725,-4.4421,46.2,90,100,2.75,ES,1675802219
321,najran,17.4924,44.1277,70.45,49,21,6.87,SA,1675802090
322,inhambane,-23.865,35.3833,78.19,87,2,8.75,MZ,1675802220
323,geraldton,-28.7667,114.6,66.61,88,75,10.36,AU,1675802220
324,buchanan,5.8808,-10.0467,78.24,90,70,5.14,LR,1675802222
325,solok,-0.7918,100.6593,67.57,74,94,1.7,ID,1675802222
326,imbituba,-28.24,-48.6703,77.65,75,24,8.28,BR,1675802198
327,te anau,-45.4167,167.7167,50.58,81,61,7.25,NZ,1675801916
328,asfi,32.2994,-9.2372,57.27,75,3,10.83,MA,1675802224
329,luis correia,-2.8792,-41.6669,79.9,78,100,11.39,BR,1675802226
330,kovylkino,54.0388,43.9139,-3.39,100,61,4.09,RU,1675802227
331,vestmannaeyjar,63.4427,-20.2734,31.91,63,100,37.29,IS,1675802227
332,chissamba,-12.1667,17.3333,60.71,87,97,3.06,AO,1675802229
333,popondetta,-8.7537,148.2534,74.7,93,100,1.43,PG,1675802231
334,yar-sale,66.8333,70.8333,-6.07,95,98,13.09,RU,1675802033
335,warrnambool,-38.3833,142.4833,56.75,81,99,10.25,AU,1675802233
336,korla,41.7597,86.1469,30.76,82,94,1.77,CN,1675802233
337,quatre cocos,-20.2078,57.7625,78.91,77,20,15.52,MU,1675802233
338,laredo,27.5064,-99.5075,80.89,54,75,3.44,US,1675802028
339,dhidhdhoo,6.8833,73.1,80.46,72,94,7.94,MV,1675802235
340,petropavlovsk-kamchatskiy,53.0452,158.6483,-8.81,77,0,6.71,RU,1675802235
341,hasaki,35.7333,140.8333,46.8,83,100,25.84,JP,1675802038
342,christiana,-27.914,25.1611,65.73,75,100,8.32,ZA,1675802236
343,katherine,-14.4667,132.2667,80.92,83,100,4.61,AU,1675802237
344,moba,33.2288,105.0179,35.6,95,100,3.22,CN,1675802237
345,ngunguru,-35.6167,174.5,67.96,60,97,8.77,NZ,1675801975
346,alcala de guadaira,37.3379,-5.8395,51.31,90,100,1.99,ES,1675802238
347,lom sak,16.7798,101.2422,75.51,72,15,1.34,TH,1675802239
348,chuy,-33.6971,-53.4616,79.03,59,0,14.23,UY,1675801904
349,padang,-0.9492,100.3543,75.22,71,98,4.43,ID,1675801850
350,lompoc,34.6391,-120.4579,70.02,47,0,7.0,US,1675802226
351,elko,41.0002,-115.5012,30.63,67,58,3.0,US,1675802241
352,buala,-8.145,159.5921,80.38,87,99,9.22,SB,1675802158
353,asyut,27.181,31.1837,50.05,44,91,8.03,EG,1675802242
354,teguldet,57.3064,88.1667,12.54,95,100,6.73,RU,1675802243
355,hammerfest,70.6634,23.6821,32.45,100,100,16.11,NO,1675802244
356,pilar,-9.5972,-35.9567,80.53,68,66,7.18,BR,1675802245
357,ambon,-3.6954,128.1814,77.14,94,40,3.44,ID,1675801967
358,swellendam,-34.0226,20.4417,66.97,82,100,10.54,ZA,1675802246
359,trinidad,-14.8333,-64.9,80.58,78,75,8.05,BO,1675801910
360,nuuk,64.1835,-51.7216,11.01,79,75,8.05,GL,1675802247
361,stettler,52.3168,-112.7186,33.55,75,61,6.91,CA,1675802248
362,eirunepe,-6.6603,-69.8736,81.28,84,57,1.43,BR,1675802248
363,santa fe,-31.6333,-60.7,105.03,23,0,8.01,AR,1675802082
364,kangaatsiaq,68.3065,-53.4641,-18.0,86,100,6.08,GL,1675802249
365,chunoyar,57.4467,97.3217,7.25,98,100,2.62,RU,1675802250
